time,omega,detuning
0,0,1.00E+02
0.125,1.00E+00,1.00E+02
0.25,1.00E+00,1.15E+02
0.375,1.00E+00,1.28E+02
0.5,1.00E+00,1.30E+02
0.625,1.00E+00,1.32E+02
0.75,1.00E+00,1.45E+02
0.875,1.00E+00,1.60E+02
1,0,1.60E+02
